Accession	Gene_name	Protein_name
Q14008	CKAP5;KIAA0097	Cytoskeleton-associated protein 5
Q14061	COX17	Cytochrome c oxidase copper chaperone
Q14103	HNRNPD;AUF1;HNRPD	Heterogeneous nuclear ribonucleoprotein D0
Q14108	SCARB2;CD36L2;LIMP2;LIMPII	Lysosome membrane protein 2
Q14114	LRP8;APOER2	Low-density lipoprotein receptor-related protein 8
Q14116	IL18;IGIF;IL1F4	Interleukin-18
Q14118	DAG1	Dystroglycan
Q14123	PDE1C	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C
Q14126	DSG2;CDHF5	Desmoglein-2
Q14139	UBE4A;KIAA0126	Ubiquitin conjugation factor E4 A
Q14141	SEPT6;KIAA0128;SEP2	Septin-6
Q14145	KEAP1;INRF2;KIAA0132;KLHL19	Kelch-like ECH-associated protein 1
Q14152	EIF3A;EIF3S10;KIAA0139	Eukaryotic translation initiation factor 3 subunit A
Q14155	ARHGEF7;COOL1;KIAA0142;P85SPR;PAK3BP;PIXB;Nbla10314	Rho guanine nucleotide exchange factor 7
Q14156	EFR3A;KIAA0143	Protein EFR3 homolog A
Q14156-3	EFR3A	Isoform 3 of Protein EFR3 homolog A
Q14157	UBAP2L;KIAA0144;NICE4	Ubiquitin-associated protein 2-like
Q14160	SCRIB;CRIB1;KIAA0147;LAP4;SCRB1;VARTUL	Protein scribble homolog
Q14160-2	SCRIB	Isoform 2 of Protein scribble homolog
Q14161	GIT2;KIAA0148	ARF GTPase-activating protein GIT2
Q14165	MLEC;KIAA0152	Malectin
Q14166	TTLL12;KIAA0153	Tubulin--tyrosine ligase-like protein 12
Q14194	CRMP1;DPYSL1;ULIP3	Dihydropyrimidinase-related protein 1
Q14203	DCTN1	Dynactin subunit 1
Q14204	DYNC1H1;DHC1;DNCH1;DNCL;DNECL;DYHC;KIAA0325	Cytoplasmic dynein 1 heavy chain 1
Q14232	EIF2B1;EIF2BA	Translation initiation factor eIF-2B subunit alpha
Q14240	EIF4A2;DDX2B;EIF4F	Eukaryotic initiation factor 4A-II
Q14247	CTTN;EMS1	Src substrate cortactin
Q14254	FLOT2;ESA1;M17S1	Flotillin-2
Q14257	RCN2;ERC55	Reticulocalbin-2
Q14258	TRIM25;EFP;RNF147;ZNF147	E3 ubiquitin/ISG15 ligase TRIM25
Q14315	FLNC;ABPL;FLN2	Filamin-C
Q14318	FKBP8;FKBP38	Peptidyl-prolyl cis-trans isomerase FKBP8
Q14318-1	FKBP8 	Peptidyl-prolyl cis-trans isomerase FKBP8
Q14344	GNA13	Guanine nucleotide-binding protein subunit alpha-13
Q14392	LRRC32;D11S833E;GARP	Leucine-rich repeat-containing protein 32
Q14406	CSHL1;CSHP1;CSL	Chorionic somatomammotropin hormone-like 1
Q14435-2	GALNT3	Isoform 2 of Polypeptide N-acetylgalactosaminyltransferase 3
Q14437	NA	Transmembrane emp24 domain-containing protein 9
Q14439	GPR176	Probable G-protein coupled receptor 176
Q14444	CAPRIN1;GPIAP1;GPIP137;M11S1;RNG105	Caprin-1
Q14498	RBM39;HCC1;RNPC2	RNA-binding protein 39
Q14517	FAT1;CDHF7;FAT	Protocadherin Fat 1
Q14525	KRT33B;HHA3-II;HKA3B;KRTHA3B	Keratin, type I cuticular Ha3-II
Q14527-2	HLTF	Isoform 2 of Helicase-like transcription factor
Q14533	KRT81;KRTHB1;MLN137	Keratin, type II cuticular Hb1
Q14554	PDIA5;PDIR	Protein disulfide-isomerase A5
Q14566	MCM6	DNA replication licensing factor MCM6
Q14571	ITPR2	Inositol 1,4,5-trisphosphate receptor type 2
Q14573	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3
Q14588	ZNF234;ZNF269	Zinc finger protein 234
Q14642	INPP5A	Type I inositol 1,4,5-trisphosphate 5-phosphatase
Q14643	ITPR1;INSP3R1	Inositol 1,4,5-trisphosphate receptor type 1
Q14644	RASA3	Ras GTPase-activating protein 3
Q14657	LAGE3;DXS9879E;ESO3;ITBA2	EKC/KEOPS complex subunit LAGE3
Q14669	TRIP12;KIAA0045;ULF	E3 ubiquitin-protein ligase TRIP12
Q14677	CLINT1;ENTH;EPN4;EPNR;KIAA0171	Clathrin interactor 1
Q14677-1	CLINT1 	Clathrin interactor 1
Q14678	KANK1;ANKRD15;KANK;KIAA0172	KN motif and ankyrin repeat domain-containing protein 1
Q14683	SMC1A;DXS423E;KIAA0178;SB1.8;SMC1;SMC1L1	Structural maintenance of chromosomes protein 1A
Q14689	DIP2A;C21orf106;DIP2;KIAA0184	Disco-interacting protein 2 homolog A
Q14692	BMS1;BMS1L;KIAA0187	Ribosome biogenesis protein BMS1 homolog
Q14696	MESDC2;KIAA0081;MESD;UNQ1911/PRO4369	LDLR chaperone MESD
Q14697	GANAB;G2AN;KIAA0088	Neutral alpha-glucosidase AB
Q14697-3	GANAB	Isoform 3 of Neutral alpha-glucosidase AB
Q14699	RFTN1;KIAA0084;MIG2	Raftlin
Q14700	NA	ER membrane protein complex subunit 1
Q14707	NA	Kinectin
Q14728	MFSD10;TETRAN	Major facilitator superfamily domain-containing protein 10
Q14739	LBR	Lamin-B receptor
Q14761	PTPRCAP;LPAP	Protein tyrosine phosphatase receptor type C-associated protein
Q14764	MVP;LRP	Major vault protein
Q14767	LTBP2;C14orf141;LTBP3	Latent-transforming growth factor beta-binding protein 2
Q14789	GOLGB1	Golgin subfamily B member 1
Q14790	CASP8;MCH5	Caspase-8
Q14839	CHD4	Chromodomain-helicase-DNA-binding protein 4
Q14839-1	CHD4 	Chromodomain-helicase-DNA-binding protein 4
Q14847	LASP1;MLN50	LIM and SH3 domain protein 1
Q14918	NA	Nebulin
Q14919	DRAP1	Dr1-associated corepressor
Q14964	RAB39A;RAB39	Ras-related protein Rab-39A
Q14974	KPNB1;NTF97	Importin subunit beta-1
Q14978	NOLC1;KIAA0035;NS5ATP13	Nucleolar and coiled-body phosphoprotein 1
Q14980	NUMA1;NUMA	Nuclear mitotic apparatus protein 1
Q14982	OPCML;IGLON1;OBCAM	Opioid-binding protein/cell adhesion molecule
Q14997	PSME4;KIAA0077	Proteasome activator complex subunit 4
Q14999	CUL7;KIAA0076	Cullin-7
Q14CN4	KRT72;K6IRS2;KB35;KRT6;KRT6IRS2	Keratin, type II cytoskeletal 72
Q14CS0	UBXN2B	UBX domain-containing protein 2B
Q15005	SPCS2;KIAA0102;SPC25	Signal peptidase complex subunit 2
Q15006	EMC2;KIAA0103;TTC35	ER membrane protein complex subunit 2
Q15008	PSMD6;KIAA0107;PFAAP4	26S proteasome non-ATPase regulatory subunit 6
Q15012	LAPTM4A;KIAA0108;LAPTM4;MBNT;MTRP;UNQ1846/PRO3574	Lysosomal-associated transmembrane protein 4A
Q15019	SEPT2;DIFF6;KIAA0158;NEDD5	Septin-2
Q15021	NCAPD2;CAPD2;CNAP1;KIAA0159	Condensin complex subunit 1
Q15027	ACAP1;CENTB1;KIAA0050	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1
Q15029	EFTUD2;KIAA0031;SNRP116	116 kDa U5 small nuclear ribonucleoprotein component
Q15041	ARL6IP1;ARL6IP;KIAA0069	ADP-ribosylation factor-like protein 6-interacting protein 1
Q15043	SLC39A14;KIAA0062;ZIP14	Zinc transporter ZIP14
Q15043-2	SLC39A14	Isoform 2 of Zinc transporter ZIP14
Q15046	KARS;KIAA0070	Lysine--tRNA ligase
Q15046-1	KARS 	Lysine--tRNA ligase
Q15052	ARHGEF6;COOL2;KIAA0006;PIXA	Rho guanine nucleotide exchange factor 6
Q15055	NA	Transmembrane protein 41B
Q15070	OXA1L	Mitochondrial inner membrane protein OXA1L
Q15070-2	OXA1L	Isoform 2 of Mitochondrial inner membrane protein OXA1L
Q15084	PDIA6;ERP5;P5;TXNDC7	Protein disulfide-isomerase A6
Q15102	PAFAH1B3;PAFAHG	Platelet-activating factor acetylhydrolase IB subunit gamma
Q15125	EBP	3-beta-hydroxysteroid-Delta
Q15126	PMVK;PMKI	Phosphomevalonate kinase
Q15131	CDK10	Cyclin-dependent kinase 10
Q15147	PLCB4	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4
Q15147-4	PLCB4	Isoform 3 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4
Q15149	PLEC;PLEC1	Plectin
Q15149-7	PLEC	Isoform 7 of Plectin
Q15154	PCM1	Pericentriolar material 1 protein
Q15155	NOMO1;PM5	Nodal modulator 1
Q15165	PON2	Serum paraoxonase/arylesterase 2
Q15181	PPA1;IOPPP;PP	Inorganic pyrophosphatase
Q15233	NONO;NRB54	Non-POU domain-containing octamer-binding protein
Q15262	PTPRK;PTPK	Receptor-type tyrosine-protein phosphatase kappa
Q15269	PWP2;PWP2H	Periodic tryptophan protein 2 homolog
Q15283	RASA2;GAP1M;RASGAP	Ras GTPase-activating protein 2
Q15286	RAB35;RAB1C;RAY	Ras-related protein Rab-35
Q15287-3	RNPS1	Isoform 3 of RNA-binding protein with serine-rich domain 1
Q15293	RCN1;RCN	Reticulocalbin-1
Q15311	RALBP1;RLIP1;RLIP76	RalA-binding protein 1
Q15323	KRT31;HHA1;HKA1;KRTHA1	Keratin, type I cuticular Ha1
Q15363	TMED2;RNP24	Transmembrane emp24 domain-containing protein 2
Q15365	PCBP1	Poly(rC)-binding protein 1
Q15366	PCBP2	Poly(rC)-binding protein 2
Q15369	TCEB1	Transcription elongation factor B polypeptide 1
Q15375	EPHA7;EHK3;HEK11	Ephrin type-A receptor 7
Q15388	TOMM20;KIAA0016	Mitochondrial import receptor subunit TOM20 homolog
Q15390	MTFR1;CHPPR;FAM54A2;KIAA0009	Mitochondrial fission regulator 1
Q15392	DHCR24;KIAA0018	Delta(24)-sterol reductase
Q15393	SF3B3;KIAA0017;SAP130	Splicing factor 3B subunit 3
Q15417	CNN3	Calponin-3
Q15424	SAFB;HAP;HET;SAFB1	Scaffold attachment factor B1
Q15427	SF3B4;SAP49	Splicing factor 3B subunit 4
Q15435	PPP1R7;SDS22	Protein phosphatase 1 regulatory subunit 7
Q15436	SEC23A	Protein transport protein Sec23A
Q15437	SEC23B	Protein transport protein Sec23B
Q15459	SF3A1;SAP114	Splicing factor 3A subunit 1
Q15506	SPA17;SP17	Sperm surface protein Sp17
Q15526	SURF1;SURF-1	Surfeit locus protein 1
Q15531	STX1B; STX1B1; STX1B2	Syntaxin-1B
Q15561	TEAD4;RTEF1;TCF13L1;TEF3	Transcriptional enhancer factor TEF-3
Q15562	TEAD2;TEF4	Transcriptional enhancer factor TEF-4
Q15582	TGFBI;BIGH3	Transforming growth factor-beta-induced protein ig-h3
Q15599	SLC9A3R2;NHERF2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2
Q15629	TRAM1;TRAM	Translocating chain-associated membrane protein 1
Q15645	TRIP13;PCH2	Pachytene checkpoint protein 2 homolog
Q15648	MED1;ARC205;CRSP1;CRSP200;DRIP205;DRIP230;PBP;PPARBP;PPARGBP;RB18A;TRAP220;TRIP2	Mediator of RNA polymerase II transcription subunit 1
Q15691	MAPRE1	Microtubule-associated protein RP/EB family member 1
Q15715	NA	Vacuolar protein sorting-associated protein 45
Q15717	ELAVL1;HUR	ELAV-like protein 1
Q15738	NSDHL;H105E3	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating
Q15758	SLC1A5;ASCT2;M7V1;RDR;RDRC	Neutral amino acid transporter B
Q15762	CD226;DNAM1	CD226 antigen
Q15800	MSMO1;DESP4;ERG25;SC4MOL	Methylsterol monooxygenase 1
Q15833	STXBP2;UNC18B	Syntaxin-binding protein 2
Q15836	VAMP3;SYB3	Vesicle-associated membrane protein 3
Q15904	ATP6AP1;ATP6IP1;ATP6S1;VATPS1;XAP3	V-type proton ATPase subunit S1
Q15907	RAB11B;YPT3	Ras-related protein Rab-11B
Q16134	ETFDH	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
Q16181	SEPT7;CDC10	Septin-7
Q16186	ADRM1;GP110	Proteasomal ubiquitin receptor ADRM1
Q16352	INA;NEF5	Alpha-internexin
Q16401	PSMD5;KIAA0072	26S proteasome non-ATPase regulatory subunit 5
Q16531	DDB1;XAP1	DNA damage-binding protein 1
Q16537	PPP2R5E	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform
Q16540	MRPL23;L23MRP;RPL23L	39S ribosomal protein L23, mitochondrial
Q16543	CDC37;CDC37A	Hsp90 co-chaperone Cdc37
Q16548	BCL2A1;BCL2L5;BFL1;GRS;HBPA1	Bcl-2-related protein A1
Q16555	DPYSL2;CRMP2;ULIP2	Dihydropyrimidinase-related protein 2
Q16563	SYPL1;SYPL	Synaptophysin-like protein 1
Q16563-2	SYPL1	Isoform 2 of Synaptophysin-like protein 1
Q16585	SGCB	Beta-sarcoglycan
Q16611	BAK1;BAK;BCL2L7;CDN1	Bcl-2 homologous antagonist/killer
Q16629	SRSF7;SFRS7	Serine/arginine-rich splicing factor 7
Q16630	CPSF6;CFIM68	Cleavage and polyadenylation specificity factor subunit 6
Q16643	DBN1;D0S117E	Drebrin
Q16643-1	DBN1 	Drebrin
Q16647	PTGIS;CYP8;CYP8A1	Prostacyclin synthase
Q16651	PRSS8	Prostasin
Q16653	MOG	Myelin-oligodendrocyte glycoprotein
Q16658	FSCN1;FAN1;HSN;SNL	Fascin
Q16678	CYP1B1	Cytochrome P450 1B1
Q16695	HIST3H3;H3FT	Histone H3.1t
Q16698	DECR1;DECR	2,4-dienoyl-CoA reductase, mitochondrial
Q16706	MAN2A1;MANA2	Alpha-mannosidase 2
Q16718	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
Q16720	ATP2B3	Plasma membrane calcium-transporting ATPase 3
Q16739	UGCG	Ceramide glucosyltransferase
Q16740	CLPP	ATP-dependent Clp protease proteolytic subunit, mitochondrial
Q16762	TST	Thiosulfate sulfurtransferase
Q16763	UBE2S;E2EPF;OK/SW-cl.73	Ubiquitin-conjugating enzyme E2 S
Q16777	HIST2H2AC;H2AFQ	Histone H2A type 2-C
Q16778	HIST2H2BE;H2BFQ	Histone H2B type 2-E
Q16795	NDUFA9;NDUFS2L	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
Q16799	RTN1;NSP	Reticulon-1
Q16832	DDR2;NTRKR3;TKT;TYRO10	Discoidin domain-containing receptor 2
Q16836	HADH;HAD;HADHSC;SCHAD	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial
Q16850	CYP51A1;CYP51	Lanosterol 14-alpha demethylase
Q16851	UGP2;UGP1	UTP--glucose-1-phosphate uridylyltransferase
Q16864	ATP6V1F;ATP6S14;VATF	V-type proton ATPase subunit F
Q16890	TPD52L1	Tumor protein D53
Q16891	IMMT;HMP;MINOS2;PIG4;PIG52	Mitochondrial inner membrane protein
Q16891-1	IMMT 	Mitochondrial inner membrane protein
Q17RC7	EXOC3L4;C14orf73	Exocyst complex component 3-like protein 4
Q19T08	ECSCR;ECSM2	Endothelial cell-specific chemotaxis regulator
Q1EHB4	SLC5A12;SMCT2	Sodium-coupled monocarboxylate transporter 2
Q1EJP6	HLA-A	MHC class I antigen
Q1KMD3	HNRNPUL2;HNRPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2
Q1MSJ5	CSPP1;CSPP	Centrosome and spindle pole-associated protein 1
Q1WWL2	PTGFRN	PTGFRN protein
Q23991	NA	Peroxidasin
Q27J81	INF2;C14orf151;C14orf173	Inverted formin-2
Q29669	HLA-B35	MHC class I antigen HLA-B35
Q29RF7	PDS5A;KIAA0648;PDS5;PIG54	Sister chromatid cohesion protein PDS5 homolog A
Q2KHT4	GSG1;UNQ709/PRO1360	Germ cell-specific gene 1 protein
Q2M3X9	ZNF674	Zinc finger protein 674
Q2TAA5	ALG11;GT8	GDP-Man:Man
Q2TAZ0	ATG2A;KIAA0404	Autophagy-related protein 2 homolog A
Q2VIR3	EIF2S3L	Putative eukaryotic translation initiation factor 2 subunit 3-like protein
Q31612	HLA-B;HLAB	HLA class I histocompatibility antigen, B-73 alpha chain
Q32MZ4	LRRFIP1;GCF2;TRIP	Leucine-rich repeat flightless-interacting protein 1
Q32MZ4-3	LRRFIP1	Isoform 3 of Leucine-rich repeat flightless-interacting protein 1
Q32P28	LEPRE1;GROS1;P3H1;PSEC0109	Prolyl 3-hydroxylase 1
Q32Q12	NME1-NME2;NME2;hCG_2001850	Nucleoside diphosphate kinase
Q3B7A4	RPLP0	60S acidic ribosomal protein P0
Q3B7K3	IKIP	IKIP protein
Q3B7S5	SMIM21;C18orf62	Small integral membrane protein 21
Q3B8N2	LGALS9B	Galectin-9B
Q3KQU3	MAP7D1;KIAA1187;PARCC1;RPRC1;PP2464	MAP7 domain-containing protein 1
Q3L8U1	CHD9;KIAA0308;KISH2;PRIC320;AD-013;x0008	Chromodomain-helicase-DNA-binding protein 9
Q3LXA3	DAK	Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase
Q3MHD2	LSM12	Protein LSM12 homolog
Q3MJ16	PLA2G4E	Cytosolic phospholipase A2 epsilon
Q3SY84	KRT71;K6IRS1;KB34;KRT6IRS1	Keratin, type II cytoskeletal 71
Q3SZ68	LAMTOR5	Ragulator complex protein LAMTOR5
Q3V6T2	CCDC88A;APE;GRDN;KIAA1212	Girdin
Q3ZAQ7	VMA21;MEAX;XMEA	Vacuolar ATPase assembly integral membrane protein VMA21
Q3ZCQ8	TIMM50;TIM50;PRO1512	Mitochondrial import inner membrane translocase subunit TIM50
Q3ZCQ8-1	TIMM50 	Mitochondrial import inner membrane translocase subunit TIM50
Q495Q6	NA	Leucine-rich repeat-containing protein 15
Q49AG2	TMED5	TMED5 protein
Q4G0F5	VPS26B	Vacuolar protein sorting-associated protein 26B
Q4G0N4	NADK2;C5orf33;MNADK;NADKD1	NAD kinase 2, mitochondrial
Q4G0S4	CYP27C1	Cytochrome P450 27C1
Q4G176	ACSF3;PSEC0197	Acyl-CoA synthetase family member 3, mitochondrial
Q4KMQ2	ANO6;TMEM16F	Anoctamin-6
Q4LDG9	DNAL1;C14orf168	Dynein light chain 1, axonemal
Q4V328	GRIPAP1;KIAA1167	GRIP1-associated protein 1
Q4V9L6	TMEM119;PSEC0199;UNQ731/PRO1415	Transmembrane protein 119
Q4VC31	CCDC58	Coiled-coil domain-containing protein 58
Q4VXF1	FAM74A3	Putative protein FAM74A3
Q4W6C4	HLA-B	MHC class I antigen
Q4ZHG4	FNDC1;FNDC2;KIAA1866;MEL4B3	Fibronectin type III domain-containing protein 1
Q4ZIN3	TMEM259;C19orf6	Membralin
Q52LJ0	FAM98B	Protein FAM98B
Q52LR7	EPC2	Enhancer of polycomb homolog 2
Q52WX2	SBK1	Serine/threonine-protein kinase SBK1
Q52YL7	HLA-A	MHC class I antigen
Q53EP0	FNDC3B;FAD104;NS5ABP37;UNQ2421/PRO4979/PRO34274	Fibronectin type III domain-containing protein 3B
Q53EZ4	CEP55;C10orf3;URCC6	Centrosomal protein of 55 kDa
Q53GD3	SLC44A4;C6orf29;CTL4;NG22;UNQ441/PRO874	Choline transporter-like protein 4
Q53GQ0	HSD17B12	Estradiol 17-beta-dehydrogenase 12
Q53H12	AGK;MULK	Acylglycerol kinase, mitochondrial
Q53H12-1	AGK 	Acylglycerol kinase, mitochondrial
Q53H76	PLA1A;NMD;PSPLA1	Phospholipase A1 member A
Q53SF7	COBLL1;KIAA0977	Cordon-bleu protein-like 1
Q53T59	HS1BP3	HCLS1-binding protein 3
Q53TP5	NA	Seprase
Q53XZ0	NA	Interferon-induced transmembrane protein 1
Q54A51	hEMMPRIN;BSG;hCG_20562	Basigin
Q562F6	SGOL2	Shugoshin-like 2
Q562R1	ACTBL2	Beta-actin-like protein 2
Q562Z4	ACT	Actin-like protein
Q567V2-2	MPV17L2	Isoform 2 of Mpv17-like protein 2
Q56UQ5	NA	TPT1-like protein
Q56VL3	OCIAD2	OCIA domain-containing protein 2
Q56VL3-1	OCIAD2 	OCIA domain-containing protein 2
Q580R0	C2orf27A;C2orf27B	Uncharacterized protein C2orf27
Q58A45	PAN3	PAB-dependent poly
Q58EX7	PLEKHG4;PRTPHN1	Puratrophin-1
Q58F09	GCS1	Glucosidase I
Q58FF6	HSP90AB4P	Putative heat shock protein HSP 90-beta 4
Q58FF7	HSP90AB3P;HSP90BC	Putative heat shock protein HSP 90-beta-3
Q58FF8	HSP90AB2P;HSP90BB	Putative heat shock protein HSP 90-beta 2
Q58WW2	DCAF6;IQWD1;MSTP055	DDB1- and CUL4-associated factor 6
Q5BJF2	TMEM97;MAC30	Transmembrane protein 97
Q5BJH7	YIF1B;PP4519;UNQ3073/PRO9905	Protein YIF1B
Q5D862	FLG2;IFPS	Filaggrin-2
Q5GH77	XKR3;XRG3	XK-related protein 3
Q5H8A4	PIGG;GPI7;UNQ1930/PRO4405	GPI ethanolamine phosphate transferase 2
Q5HY98	ZNF766	Zinc finger protein 766
Q5HYB6	DKFZp686J1372;HEL-189	Epididymis luminal protein 189
Q5HYD9	DKFZp686M0619	Putative uncharacterized protein DKFZp686M0619
Q5HYI8	RABL3	Rab-like protein 3
Q5HYK9	ZNF667	Zinc finger protein 667
Q5J8M3	EMC4;TMEM85;HSPC184;PIG17	ER membrane protein complex subunit 4
Q5J8M3-1	EMC4 	ER membrane protein complex subunit 4
Q5JP53	TUBB	Tubulin beta chain
Q5JPE7	NOMO2	Nodal modulator 2
Q5JPE7-2	NOMO2	Isoform 2 of Nodal modulator 2
Q5JR59	MTUS2;CAZIP;KIAA0774;TIP150	Microtubule-associated tumor suppressor candidate 2
Q5JRA6	MIA3;KIAA0268;TANGO;TANGO1;UNQ6077/PRO20088	Melanoma inhibitory activity protein 3
Q5JSL3	DOCK11;ZIZ2	Dedicator of cytokinesis protein 11
Q5JST6	EFHC2	EF-hand domain-containing family member C2
Q5JTJ3	COA6;C1orf31	Cytochrome c oxidase assembly factor 6 homolog
Q5JTV8	TOR1AIP1;LAP1	Torsin-1A-interacting protein 1
Q5JTV8-1	TOR1AIP1 	Torsin-1A-interacting protein 1
Q5JVF3	PCID2;HT004	PCI domain-containing protein 2
Q5JVL4	EFHC1	EF-hand domain-containing protein 1
Q5JWF2	GNAS;GNAS1	Guanine nucleotide-binding protein G
Q5K4L6	SLC27A3;ACSVL3;FATP3;PSEC0067;UNQ367/PRO703	Long-chain fatty acid transport protein 3
Q5K651	SAMD9;C7orf5;DRIF1;KIAA2004;OEF1	Sterile alpha motif domain-containing protein 9
Q5M775	SPECC1;CYTSB;NSP5	Cytospin-B
Q5PR19	NA	Putative UPF0607 protein LOC392364
Q5QNW6	HIST2H2BF	Histone H2B type 2-F
Q5RI15	COX20;FAM36A	Cytochrome c oxidase protein 20 homolog
Q5RI15-1	COX20 	Cytochrome c oxidase protein 20 homolog
Q5RKV6	EXOSC6;MTR3	Exosome complex component MTR3
Q5SNT2	TMEM201;NET5;SAMP1	Transmembrane protein 201
Q5SQ64	LY6G6F;C6orf21;G6F;LY6G6D;NG32	Lymphocyte antigen 6 complex locus protein G6f
Q5SRD1	TIMM23B	Putative mitochondrial import inner membrane translocase subunit Tim23B
Q5SRN2	C6orf10	Uncharacterized protein C6orf10
Q5SSJ5	HP1BP3	Heterochromatin protein 1-binding protein 3
Q5SV24	NA	ATPase family, AAA domain containing 3A
Q5SZK8-2	FREM2	Isoform 2 of FRAS1-related extracellular matrix protein 2
Q5T013	HYI;HT036;SB156	Putative hydroxypyruvate isomerase
Q5T0N5	FNBP1L;C1orf39;TOCA1	Formin-binding protein 1-like
Q5T124	UBXN11;SOC;UBXD5;PP2243	UBX domain-containing protein 11
Q5T1B0	AXDND1;C1orf125	Axonemal dynein light chain domain-containing protein 1
Q5T1V6	DDX59;ZNHIT5	Probable ATP-dependent RNA helicase DDX59
Q5T2N8	ATAD3C	ATPase family AAA domain-containing protein 3C
Q5T3F8	TMEM63B;C6orf110	CSC1-like protein 2
Q5T3F8-2	TMEM63B	Isoform 2 of CSC1-like protein 2
Q5T4F4	ZFYVE27	Protrudin
Q5T4S7	UBR4;KIAA0462;KIAA1307;RBAF600;ZUBR1	E3 ubiquitin-protein ligase UBR4
Q5T5C0	STXBP5;LLGL3	Syntaxin-binding protein 5
Q5T5Y3	CAMSAP1	Calmodulin-regulated spectrin-associated protein 1
Q5T655	CCDC147;C10orf80	Coiled-coil domain-containing protein 147
Q5T686	AVPI1;NPD013;PP5395	Arginine vasopressin-induced protein 1
Q5T8D3	ACBD5;KIAA1996	Acyl-CoA-binding domain-containing protein 5
Q5T8D3-2	ACBD5	Isoform 2 of Acyl-CoA-binding domain-containing protein 5
Q5T9A4	ATAD3B;KIAA1273;TOB3	ATPase family AAA domain-containing protein 3B
Q5TAX3	ZCCHC11;KIAA0191;TUT4	Terminal uridylyltransferase 4
Q5TCU3	TPM2	Tropomyosin beta chain
Q5TDH0	DDI2	Protein DDI1 homolog 2
Q5TFG8	ZC2HC1B;C6orf94;FAM164B	Zinc finger C2HC domain-containing protein 1B
Q5TH74	STPG1;C1orf201	O(6)-methylguanine-induced apoptosis 2
Q5TZA2	CROCC;KIAA0445	Rootletin
Q5TZK3	FAM74A4;FAM74A6	Protein FAM74A4/A6
Q5U5X0	LYRM7;C5orf31;MZM1L	Complex III assembly factor LYRM7
Q5UIP0	RIF1	Telomere-associated protein RIF1
Q5VST6	ABHD17B;C9orf77;FAM108B1;CGI-67	Alpha/beta hydrolase domain-containing protein 17B
Q5VT25	CDC42BPA;KIAA0451	Serine/threonine-protein kinase MRCK alpha
Q5VT66	MARC1;MOSC1	Mitochondrial amidoxime-reducing component 1
Q5VTE0	EEF1A1P5;EEF1AL3	Putative elongation factor 1-alpha-like 3
Q5VTU8	ATP5EP2	ATP synthase subunit epsilon-like protein, mitochondrial
Q5VU43	PDE4DIP;CMYA2;KIAA0454;KIAA0477;MMGL	Myomegalin
Q5VUD6	FAM69B;C9orf136;PP6977	Protein FAM69B
Q5VVX9	UBE2U	Ubiquitin-conjugating enzyme E2 U
Q5VW32	BROX;BROFTI;C1orf58	BRO1 domain-containing protein BROX
Q5VYK3	ECM29;KIAA0368	Proteasome-associated protein ECM29 homolog
Q5W0Z9	ZDHHC20	Probable palmitoyltransferase ZDHHC20
Q5W111	SPRYD7;C13orf1;CLLD6	SPRY domain-containing protein 7
Q5XKE5	KRT79;K6L;KB38;KRT6L	Keratin, type II cytoskeletal 79
Q5XKP0	QIL1;C19orf70	Protein QIL1
Q5Y7A7	HLA-DRB1	HLA class II histocompatibility antigen, DRB1-13 beta chain
Q5ZPR3	CD276;B7H3;PSEC0249;UNQ309/PRO352	CD276 antigen
Q63HN8	RNF213;ALO17;C17orf27;KIAA1554;KIAA1618;MYSTR	E3 ubiquitin-protein ligase RNF213
Q63HR2	TENC1;KIAA1075;TNS2	Tensin-like C1 domain-containing phosphatase
Q63ZY3	KANK2;ANKRD25;KIAA1518;MXRA3;SIP	KN motif and ankyrin repeat domain-containing protein 2
Q658N2	WSCD1;KIAA0523	WSC domain-containing protein 1
Q68CQ7	GLT8D1;GALA4A;AD-017;MSTP137;UNQ572/PRO1134	Glycosyltransferase 8 domain-containing protein 1
Q68D51	DENND2C	DENN domain-containing protein 2C
Q68D85	NCR3LG1;B7H6	Natural cytotoxicity triggering receptor 3 ligand 1
Q68D91	MBLAC2	Metallo-beta-lactamase domain-containing protein 2
Q68DN1	C2orf16	Uncharacterized protein C2orf16
Q68E01	INTS3;C1orf193;C1orf60	Integrator complex subunit 3
Q6DD88	ATL3	Atlastin-3
Q6DN14	MCTP1	Multiple C2 and transmembrane domain-containing protein 1
Q6EMB2	TTLL5;KIAA0998;STAMP	Tubulin polyglutamylase TTLL5
